combination|similarity
20_LDA_5_True_DBSCAN_0.7_4.csv|0.2
20_LDA_10_True_DBSCAN_0.7_4.csv|0.6363636363636364
20_LDA_20_True_DBSCAN_0.7_4.csv|0.35
20_LDA_5_True_DBSCAN_0.8_4.csv|0.09090909090909091
20_LDA_10_True_DBSCAN_0.8_4.csv|0.2727272727272727
20_LDA_20_True_DBSCAN_0.8_4.csv|0.35
20_LDA_5_True_DBSCAN_0.9_4.csv|0.08333333333333333
20_LDA_10_True_DBSCAN_0.9_4.csv|0.21052631578947367
20_LDA_20_True_DBSCAN_0.9_4.csv|0.35
20_LDA_5_True_DBSCAN_1.0_4.csv|0.0
20_LDA_10_True_DBSCAN_1.0_4.csv|0.08333333333333333
20_LDA_20_True_DBSCAN_1.0_4.csv|0.07692307692307693
20_LDA_5_True_DBSCAN_1.1_4.csv|0.0
20_LDA_10_True_DBSCAN_1.1_4.csv|0.0
20_LDA_20_True_DBSCAN_1.1_4.csv|0.0
20_LDA_5_True_DBSCAN_1.2_4.csv|0.0
20_LDA_10_True_DBSCAN_1.2_4.csv|0.0
20_LDA_20_True_DBSCAN_1.2_4.csv|0.0
20_LDA_5_True_DBSCAN_1.3_4.csv|0.0
20_LDA_10_True_DBSCAN_1.3_4.csv|0.0
20_LDA_20_True_DBSCAN_1.3_4.csv|0.0
20_LDA_5_True_DBSCAN_1.4_4.csv|0.0
20_LDA_10_True_DBSCAN_1.4_4.csv|0.0
20_LDA_20_True_DBSCAN_1.4_4.csv|0.0
20_LDA_5_True_DBSCAN_1.5_4.csv|0.0
20_LDA_10_True_DBSCAN_1.5_4.csv|0.0
20_LDA_20_True_DBSCAN_1.5_4.csv|0.0
20_LDA_5_True_DBSCAN_1.6_4.csv|0.0
20_LDA_10_True_DBSCAN_1.6_4.csv|0.0
20_LDA_20_True_DBSCAN_1.6_4.csv|0.0
20_LDA_5_True_DBSCAN_1.7_4.csv|0.0
20_LDA_10_True_DBSCAN_1.7_4.csv|0.0
20_LDA_20_True_DBSCAN_1.7_4.csv|0.0
20_LDA_5_True_DBSCAN_1.8_4.csv|0.0
20_LDA_10_True_DBSCAN_1.8_4.csv|0.0
20_LDA_20_True_DBSCAN_1.8_4.csv|0.0
20_LDA_5_True_DBSCAN_1.9_4.csv|0.0
20_LDA_10_True_DBSCAN_1.9_4.csv|0.0
20_LDA_20_True_DBSCAN_1.9_4.csv|0.0
20_LDA_5_True_DBSCAN_2.0_4.csv|0.0
20_LDA_10_True_DBSCAN_2.0_4.csv|0.0
20_LDA_20_True_DBSCAN_2.0_4.csv|0.0
20_LDA_5_True_DBSCAN_0.1_5.csv|0.375
20_LDA_10_True_DBSCAN_0.1_5.csv|0.35
20_LDA_20_True_DBSCAN_0.1_5.csv|0.35
20_LDA_5_True_DBSCAN_0.2_5.csv|0.4166666666666667
20_LDA_10_True_DBSCAN_0.2_5.csv|0.35
20_LDA_20_True_DBSCAN_0.2_5.csv|0.35
20_LDA_5_True_DBSCAN_0.3_5.csv|0.125
20_LDA_10_True_DBSCAN_0.3_5.csv|0.35
20_LDA_20_True_DBSCAN_0.3_5.csv|0.35
20_LDA_5_True_DBSCAN_0.4_5.csv|0.15384615384615385
20_LDA_10_True_DBSCAN_0.4_5.csv|0.2222222222222222
20_LDA_20_True_DBSCAN_0.4_5.csv|0.35
20_LDA_5_True_DBSCAN_0.5_5.csv|0.23076923076923078
